category,qty,required,item,manufacturer_part_or_spec,vendor_example,url,unit_cost_usd_est,extended_cost_usd_est,notes
Electronics,1,Yes,Microcontroller,Seeed Studio XIAO ESP32-S3 non-Sense SKU 113991114,Seeed Studio,https://www.seeedstudio.com/XIAO-ESP32S3-p-5627.html,8.00,8.00,"Native USB; use D6/GPIO43 TX, D7/GPIO44 RX, D1/GPIO2 interrupt"
Electronics,1,Yes,Fingerprint sensor,"ZW101 circular UART module; 21 mm OD; MX1.0-6P; 3.3 V; 0xEF01 protocol",Marketplace / Hi-Link distributor,https://elecohm.com/wp-content/uploads/2025/01/ZW101-Fingerprint-Module-Datasheet-V1.0.pdf,15.00,15.00,"Verify exact model, pin 1 orientation, cable, touch output, and RGB/aura command support"
Electronics,1,Yes,Sensor harness,"MX1.0-6P 6-conductor cable matched to module",Matched seller,https://elecohm.com/wp-content/uploads/2025/01/ZW101-Fingerprint-Module-Datasheet-V1.0.pdf,2.00,2.00,"Do not trust wire colors; continuity-test every conductor"
Electronics,1,Yes,USB-C cable,"USB-C to host cable with USB 2.0 data, 0.5-1 m",Known-good supplier,,7.00,7.00,"Charge-only cables will not enumerate"
Electronics,1,Yes,Hookup wire,"28-30 AWG stranded silicone wire, black/red plus signals",Electronics supplier,,1.50,1.50,"Consumed amount; keep UART leads short"
Electronics,1,Yes,Heat-shrink,"1-2 mm assortment",Electronics supplier,,0.50,0.50,"Insulate splices and add strain relief"
Mechanical,1,Yes,Top enclosure,"PETG or ASA; matte black; about 15 g",Local print,,1.00,1.00,"Print fit coupon first"
Mechanical,1,Yes,Base enclosure,"PETG or ASA; matte black; about 18 g",Local print,,1.20,1.20,"Outside face on bed; avoid support inside pockets"
Mechanical,4,Yes,Heat-set inserts,"M2.5 x 0.45 short brass inserts; exact OD per supplier drawing",Initeq / McMaster / CNC Kitchen style,https://initeq.io/products/m2-5-short-brass-threaded-inserts,0.25,1.00,"Tune bore with insert coupon; do not use generic diameter blindly"
Mechanical,4,Yes,Enclosure screws,"M2.5 x 6 mm black socket/button head",Fastener supplier,,0.20,0.80,"Confirm head recess and engagement before final print"
Mechanical,4,No,Disc magnets,"10 x 3 mm N35 or stronger",Magnet supplier,,0.60,2.40,"Optional Creator Rail interface; mark polarity before bonding"
Mechanical,4,No,Silicone feet,"6-8 mm diameter x 1.5-2 mm",Hardware supplier,,0.25,1.00,"Standalone base alternative to rail adapter"
Mechanical,1,Yes,Sensor retention,"Thin 3M 9448A/300LSE-class tape or neutral-cure silicone dots",3M / hardware supplier,,1.00,1.00,"Keep adhesive clear of sensor face and connector"
Consumable,1,Yes,Solder,"Lead-free or 63/37 electronics solder plus flux",Electronics supplier,,1.00,1.00,"Consumed amount"
Consumable,1,No,Epoxy tamper fill,"Black electronics-safe potting compound",Specialty supplier,,5.00,5.00,"Not for first prototype; harms serviceability and must be thermally validated"
Optional,1,No,Spare XIAO,"Same as primary",Seeed Studio,https://www.seeedstudio.com/XIAO-ESP32S3-p-5627.html,8.00,8.00,"Strongly recommended for secure-boot rehearsal"
Optional,1,No,Spare sensor,"Same exact sensor and cable",Matched seller,,15.00,15.00,"Reduces schedule risk from marketplace variation"
